UXNoTqkjA2zdXPftcqBvYQ,So good!  Had dinner here on a Friday night.
UXNoTqkjA2zdXPftcqBvYQ,"This place is fantastic.   Great food and wine list at a reasonable price.   If you like the Los Altos Grill, you will like this place.   Much easier to get in and much better food and wine pricing."
UXNoTqkjA2zdXPftcqBvYQ,I went to the Bistro because they play the World Cup on their screen. It is located inside the Courtyard Marriott so you can just park it (for free) at the hotel parking lot and walk in. I ordered the chicken pot pie. It took little less than 15 minutes to get my order. The chicken soup inside the pie was heavenly and it really goes well with the crust. I loved it!
UXNoTqkjA2zdXPftcqBvYQ,"I went here with friends during lunch time. The iced coffee was bomb. I got the burger and it was delicious. Service was great, very friendly waitress."
UXNoTqkjA2zdXPftcqBvYQ,"LOVE The Bistro! Drinks, meals, appetizers, and desserts were all so delicious! Service was fast & friendly, parking was free & plentiful, and the patio was a great spot to catch up with friends after work. The spot is a little hidden, as it's a part of the Marriott, so drive by slowly to avoid missing it. I heard there's live music Saturday nights, aka I'll be coming back soon. The Bistro is a great new find, enjoy!"
UXNoTqkjA2zdXPftcqBvYQ,"Great for the price! Despite being in the hotel, the space is very cool so definitely give it a try before dismissing it because of that. The burger I had was very well out together and not super sloppy. My friends pasta smelled delicious. Early supper menu from 5-630 is a great deal."
_1yJBsOdhRtYHl0_QzFHug,A sister restaurant to Bandera in Chicago with essentially the same menu. The macho salad is fantastic and the quality of the ingredients make up for the price ($23). Service is smooth and efficient.
_1yJBsOdhRtYHl0_QzFHug,I loved coming to this place but over this last weekend I found out they now charge 20 dollars for corkage fee. It used to be free. What happened??
_1yJBsOdhRtYHl0_QzFHug,"Quaint little spot right outside the main street of downtown Los Altos. We had reservations for 2 for 5pm on a Wednesday. Was quite lively! Under my reservation, I listed we were celebrating a birthday which the server acknowledged as we sat at our table. Service was attentive & helpful. Menu is competitively priced. Food we ordered was simple but satisfying."
_1yJBsOdhRtYHl0_QzFHug,"I've been coming to this wonderful restaurant since it used to be Banderas. The best food, the best atmosphere, and great service make this my go to place. They use real mesquite wood when they grilled or chicken. We had prime rib, the macho chopped salad with dates and avocado, a nice hamburger with Monterey cheese, And of course the wonderful fillet mignon. Cannot say enough good things about this restaurant. Their bar opens at 4 o'clock and they have really good margaritas, Cosmo's, and martinis. A+ is you can bring one bottle of wine with no corkage fee. We always take it"
_1yJBsOdhRtYHl0_QzFHug,"One of my favorite restaurants in the South Bay (I know it's a chain, but it's the closest one to me). I've been going here for +20 years and the food has been consistently good throughout the years. The service here is generally good (some hostesses are a little curt but overall they are friendly and accommodating)."
_1yJBsOdhRtYHl0_QzFHug,"I use to really like this place and previously I would say the corn bread is a must but, the last few times I have been extremely disappointed with the service and food. I do not know if there is a new chef or what, but it's not the same. Brought a girlfriend here for her birthday and she was so excited to try this place and after the meal she mentioned ""I don't know what all the hype is about, the food was mediocre and the famous corn bread was cold and hard"". We mentioned to our server that the corn bread was cold and she brought us a new one that was supposedly fresh out of the oven, however the replacement also tasted hard and stale."
_1yJBsOdhRtYHl0_QzFHug,This place has destroyed 20+ years of good will. We won't be coming back nearly as often. So sad.
_1yJBsOdhRtYHl0_QzFHug,Great experience here last night.  It was busy and lively per usual.  I hadn't been here for several months after they stopped taking reservations and I had a couple of poor back to back experiences but they started taking reservations again and we were seated on time last night.
_1yJBsOdhRtYHl0_QzFHug,"Good service.  Short, but thorough menu, which I actually prefer, has a little bit of everything.  The food and drinks are made perfectly.  Been here a couple of times, looking forward to visiting again!"
_1yJBsOdhRtYHl0_QzFHug,"I love the food ,ambiance, service..I've met my friend there twice after work and the they have always been accommodating with excellent wine recommendations. ample pours and delicious sea food,and steaks.. Will be coming here again soon, i hope"
7TPhuOdvfEeavKmYSUVKFQ,"What prompted me to write is the quinoa bowl. I've had a variety of quinoa, spinach, and whatever gets thrown in with that type dishes around the world, this one is definitely top two. I loved the roast cauliflower, hearty mushroom pieces, and of course the grilled avocado. I was super happy with it."
7TPhuOdvfEeavKmYSUVKFQ,This was the worse experience I have had at restaurant in recent memory. Almost everything was wrong. This will be long so if interested read on. 
7TPhuOdvfEeavKmYSUVKFQ,"This restaurant is more on the upscale side, the decor, the vibe, and the price. They do have a happy hour menu which makes it a lot more affordable, almost everything on the HH menu was under $10, it's in the bar area only so no reservation."
7TPhuOdvfEeavKmYSUVKFQ,"Time for Happy Hour with my coworkers! My manager left early to reserve us a table so we met up with her later. Parking not too bad on a Thursday, but an option to park in the garage is available. "
7TPhuOdvfEeavKmYSUVKFQ,"Now with the new management things got better. And we only hope it keeps the standards up for a long time. So far the food has a much better taste, it's not overly salty snd has flavor.  The presentation of the dishes has also improved. New servers seem to be more efficient and professional, other than sloppy, forgetful and getting our orders incorrectly. The manager came by to our table asked if everyrhing was ok, very thoughtful. Consistency is the key, keep it up."
7TPhuOdvfEeavKmYSUVKFQ,"We went in Friday night without reservation. We were seated quickly though the restaurant was jam packed. Seeing how busy they were, I was expecting slow service and probably would wait long time for the food."
7TPhuOdvfEeavKmYSUVKFQ,Could not eek out more than three stars even with the $55 for two Monday night special which was a bottle of wine plus a starter and entree'.  
